dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,depth_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,experiment_location,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,sex,parental_age,parental_age_units,parental_size_type,parental_size_units,parental_size_value,mating,method_type,fecundity,fecundity_unit,fecundity_temporal_unit,offspring_developmental_stage,offspring_size_type,offspring_size_units,offspring_size_value,comments_fecundity
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,191.7,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,413.86,,weighting and counting,12554,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,166,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,340.56,,weighting and counting,12524,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.2,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,490.02,,weighting and counting,15278,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,181.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,366.9,,weighting and counting,9469,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,181.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,560.5,,weighting and counting,17494,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,173.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,634.7,,weighting and counting,17139,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,173.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,312.9,,weighting and counting,9419,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,139.6,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,400.3,,weighting and counting,10757,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,181.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,372.4,,weighting and counting,12690,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,139.6,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,400.5,,weighting and counting,12763,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,181.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,357.9,,weighting and counting,10480,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,139.6,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,194.6,,weighting and counting,6411,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,181.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,314.1,,weighting and counting,7381,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,139.6,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,347,,weighting and counting,10592,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,186.5,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,15-02-2018,15-02-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,394.3,,weighting and counting,10919,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.2,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,293.5,,weighting and counting,8394,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,191.7,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,354.96,,weighting and counting,9577,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,191.7,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,397.74,,weighting and counting,13993,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,349.5,,weighting and counting,13438,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,328.51,,weighting and counting,9090,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,453.3,,weighting and counting,12743,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.2,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,632.98,,weighting and counting,15482,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,181,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,05-01-2018,05-01-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,547.21,,weighting and counting,18285,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,187,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,23-04-2018,23-04-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,315,,weighting and counting,18048,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,187,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,23-04-2018,23-04-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,379,,weighting and counting,13075,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,128,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,23-04-2018,23-04-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,604,,weighting and counting,20579,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,187,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,23-04-2018,23-04-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,362,,weighting and counting,10472,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,135,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,05-01-2018,05-01-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,625.55,,weighting and counting,21438,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,166,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,340.56,,weighting and counting,10300,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,181,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,05-01-2018,05-01-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,392.1,,weighting and counting,13274,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.2,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,296.7,,weighting and counting,6519,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,128,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,23-04-2018,23-04-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,385,,weighting and counting,15437,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,191.7,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,271.08,,weighting and counting,8668,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,128,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,23-04-2018,23-04-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,274,,weighting and counting,5483,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.2,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,23-04-2018,23-04-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,401,,weighting and counting,12745,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,139.6,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,23-04-2018,23-04-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,316,,weighting and counting,5915,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.2,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,340.34,,weighting and counting,13586,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
