dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,elevation_of_collection,depth_of_collection,lat_gg_mm_ss,long_gg_mm_ss,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0613,29,,,,,,,,,,mLO2/h/ind,0.046341354,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0462,29,,,,,,,,,,mLO2/h/ind,0.03908509,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.06,29,,,,,,,,,,mLO2/h/ind,0.028785955,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0684,29,,,,,,,,,,mLO2/h/ind,0.069042014,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0758,29,,,,,,,,,,mLO2/h/ind,0.044831267,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0706,32,,,,,,,,,,mLO2/h/ind,0.05104029,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0448,32,,,,,,,,,,mLO2/h/ind,0.040915254,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0885,32,,,,,,,,,,mLO2/h/ind,0.052268823,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1015,32,,,,,,,,,,mLO2/h/ind,0.051425775,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0843,32,,,,,,,,,,mLO2/h/ind,0.06449947,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0775,32,,,,,,,,,,mLO2/h/ind,0.08447495,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.118,32,,,,,,,,,,mLO2/h/ind,0.066879985,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0416,20,,,,,,,,,,mLO2/h/ind,0.030776196,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0336,20,,,,,,,,,,mLO2/h/ind,0.022438988,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0805,20,,,,,,,,,,mLO2/h/ind,0.049071817,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0967,20,,,,,,,,,,mLO2/h/ind,0.032730616,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0309,20,,,,,,,,,,mLO2/h/ind,0.021178978,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0649,20,,,,,,,,,,mLO2/h/ind,0.023499019,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0769,20,,,,,,,,,,mLO2/h/ind,0.026080939,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0563,20,,,,,,,,,,mLO2/h/ind,0.027405666,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0784,20,,,,,,,,,,mLO2/h/ind,0.033069113,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0918,20,,,,,,,,,,mLO2/h/ind,0.041377661,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.074,20,,,,,,,,,,mLO2/h/ind,0.02608175,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,20,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.058,20,,,,,,,,,,mLO2/h/ind,0.037781896,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1029,29,,,,,,,,,,mLO2/h/ind,0.060646302,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.078,29,,,,,,,,,,mLO2/h/ind,0.062879903,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1051,29,,,,,,,,,,mLO2/h/ind,0.062156508,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1064,29,,,,,,,,,,mLO2/h/ind,0.081681021,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1157,26,,,,,,,,,,mLO2/h/ind,0.038373772,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1341,26,,,,,,,,,,mLO2/h/ind,0.054284067,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0715,26,,,,,,,,,,mLO2/h/ind,0.04055472,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1473,26,,,,,,,,,,mLO2/h/ind,0.047590827,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1058,26,,,,,,,,,,mLO2/h/ind,0.05557008,
